Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5177±0.0132,0.5812±0.0244,0.4709±0.0719,0.5188±0.2227,0.6436±0.2488
liaoning,0.5333±0.0595,0.5732±0.0379,0.4114±0.1207,0.4377±0.2751,0.7087±0.3032
xiangya,0.6935±0.0658,0.6807±0.0425,0.7404±0.1315,0.7015±0.2087,0.6600±0.2140
