method,hospital,seed,split,roc,pr,mcc,f1p,neff
N12_mil,huaxi,42,val,0.7096774193548387,0.6993543063603183,0.30446040300376054,0.6153846153846154,11.99630058433843
N12_mil,huaxi,42,external,0.5477272727272727,0.41869482088731586,0.02860387767736777,0.5233644859813084,11.997152115479276
N12_mil,huaxi,123,val,0.7072879330943846,0.6857921639235354,0.27429978297347535,0.6181818181818182,11.994836428512862
N12_mil,huaxi,123,external,0.5318181818181819,0.4236148275700593,-0.01648085632718039,0.5263157894736842,11.997209807567616
N12_mil,huaxi,2024,val,0.7132616487455197,0.7047204411051293,0.1965145281268364,0.5306122448979592,11.995235027317015
N12_mil,huaxi,2024,external,0.5642045454545455,0.4484778559809824,0.1775690469676678,0.5316455696202531,11.998506373202362
N12_mil,huaxi,3407,val,0.7264038231780168,0.6964387625168051,0.4126422822122716,0.6909090909090909,11.988353173074252
N12_mil,huaxi,3407,external,0.5647727272727272,0.4214464656701918,0.050681599789873646,0.5321100917431193,11.99524150612887
N12_mil,huaxi,114514,val,0.7108721624850657,0.7324244075207469,0.3452278446214586,0.5777777777777777,11.99375072452226
N12_mil,huaxi,114514,external,0.5630681818181819,0.4432558035027853,0.058357285367106965,0.3137254901960784,11.995263349454323
N12_mil,liaoning,42,val,0.7987616099071206,0.8564137239265464,0.5066515075180997,0.6666666666666666,11.99763164697218
N12_mil,liaoning,42,external,0.516261554262239,0.35740518559299433,0.0833906668237158,0.42953020134228187,11.997191448603346
N12_mil,liaoning,123,val,0.7678018575851393,0.8235198346548984,0.3344280270299693,0.34782608695652173,11.99860769290932
N12_mil,liaoning,123,external,0.5368024649092776,0.3705888201106696,-0.0676760266172419,0.07317073170731707,11.998459157528607
N12_mil,liaoning,2024,val,0.7678018575851393,0.8397794700426278,0.38949041885226005,0.7027027027027027,11.998859475472031
N12_mil,liaoning,2024,external,0.6020769142987561,0.4231952124480851,0.14507847061580126,0.421875,11.998822970555382
N12_mil,liaoning,3407,val,0.7801857585139318,0.8483022452836693,0.2726602520414434,0.6829268292682927,11.997613082846867
N12_mil,liaoning,3407,external,0.600935752596143,0.42159736877565773,0.12092472666886579,0.4489795918367347,11.99753908565601
N12_mil,liaoning,114514,val,0.7956656346749227,0.864232387279956,0.4230217115244236,0.48,11.99722260271585
N12_mil,liaoning,114514,external,0.573319639392902,0.4090445679423062,-0.054561374359839876,0.07407407407407407,11.996947792188616
N12_mil,xiangya,42,val,0.6222222222222222,0.475767181734674,0.03152519949406393,0.30303030303030304,11.997742593575264
N12_mil,xiangya,42,external,0.43631840796019905,0.6660826967093265,-0.13152984406358476,0.4,11.997936143583658
N12_mil,xiangya,123,val,0.6722222222222223,0.4846108886271593,0.13900960937138318,0.3333333333333333,11.997775269496755
N12_mil,xiangya,123,external,0.4557213930348259,0.6645555914271309,-0.18259514607688268,0.48214285714285715,11.997578612533932
N12_mil,xiangya,2024,val,0.6986111111111112,0.5014018834774439,-0.10050378152592121,0.0,11.997625252875933
N12_mil,xiangya,2024,external,0.3427860696517413,0.6063732395119427,-0.08557801743684726,0.056338028169014086,11.998041337509653
N12_mil,xiangya,3407,val,0.6611111111111111,0.46679813650716373,0.29798331700803293,0.5964912280701754,11.997694446307927
N12_mil,xiangya,3407,external,0.4865671641791045,0.7023610591926864,0.059872431374995955,0.8148148148148148,11.9970959418518
N12_mil,xiangya,114514,val,0.6513888888888889,0.4551239186636813,0.34426518632954817,0.6129032258064516,11.998927089731124
N12_mil,xiangya,114514,external,0.4562189054726369,0.6738916213734583,0.0,0.8170731707317073,11.998185965454793
