method,hospital,seed,split,roc,pr,mcc,f1p,neff,p_mean,p_std,p_range
Attn_WEA,huaxi,42,val,0.7180406212664276,0.6959891542589749,0.20596151053054085,0.25,11.845736800454578,0.46421869869889887,0.024903650301331806,0.10327547788619995
Attn_WEA,huaxi,42,external,0.5892045454545455,0.47034727212764543,0.01648085632718039,0.10810810810810811,11.865116779660227,0.47953947350896636,0.01321660088966047,0.07271048426628118
Attn_WEA,huaxi,123,val,0.7025089605734767,0.6581426194070824,0.11759271018536158,0.6419753086419753,11.82740140673832,0.537698493435465,0.02618714030828087,0.10166943073272705
Attn_WEA,huaxi,123,external,0.5306818181818183,0.48357687288288453,0.0,0.5378151260504201,11.852525146245895,0.5459955334663391,0.013235779864046747,0.07014292478561401
Attn_WEA,huaxi,2024,val,0.6093189964157705,0.6407249575161917,0.0,0.0,11.834818870208037,0.4337274843248828,0.009897753747653148,0.042120486497879084
Attn_WEA,huaxi,2024,external,0.5318181818181817,0.4261609459735527,0.0,0.0,11.79835504771932,0.42167690464819985,0.010874394905989964,0.05504170060157776
Attn_WEA,huaxi,3407,val,0.6786140979689367,0.671999280199165,0.11759271018536158,0.6419753086419753,11.80818263459756,0.5331128424611585,0.02358887055363721,0.12165299057960516
Attn_WEA,huaxi,3407,external,0.5488636363636363,0.45712743027915315,0.0,0.5378151260504201,11.81461307963597,0.5407620709517906,0.014598391997996611,0.07189112901687622
Attn_WEA,huaxi,114514,val,0.6917562724014337,0.6623569189000389,0.27429978297347535,0.6181818181818182,11.829009682265545,0.5028802146171701,0.03383658009690137,0.1386052370071411
Attn_WEA,huaxi,114514,external,0.5380681818181818,0.4386096959931825,0.08593589370601203,0.543859649122807,11.839543919274302,0.5182716168206314,0.013688817353155622,0.08281776309013367
Attn_WEA,liaoning,42,val,0.7368421052631579,0.7930207640841316,0.1598871782677901,0.1,11.794984686094955,0.43899354173077476,0.02248474326771151,0.12327420711517334
Attn_WEA,liaoning,42,external,0.5670432500285291,0.39382367175731875,-0.05278437446598179,0.0,11.779658775603663,0.4388786577144448,0.01656858801705094,0.10081726312637329
Attn_WEA,liaoning,123,val,0.6873065015479876,0.7089040745270596,0.1598871782677901,0.1,11.800892759379948,0.4759228825569153,0.011599280243056963,0.05060639977455139
Attn_WEA,liaoning,123,external,0.4395754878466279,0.3224726521826663,-0.024683062076062325,0.11764705882352941,11.81140124329048,0.4793984026324992,0.01497205480803228,0.0957839190959931
Attn_WEA,liaoning,2024,val,0.7863777089783281,0.8302391684311079,0.3856962663899156,0.717948717948718,11.789939159623234,0.5074268596039878,0.033440513351811564,0.1257480680942536
Attn_WEA,liaoning,2024,external,0.6065274449389478,0.4362930749963582,0.07903900613938113,0.27722772277227725,11.762280184774598,0.4759500396190857,0.02214557123830303,0.10256260633468628
Attn_WEA,liaoning,3407,val,0.7120743034055728,0.6998489049081174,0.17869743453458892,0.7037037037037037,11.752432228893195,0.5181540035539203,0.010511353046698613,0.04621839523315435
Attn_WEA,liaoning,3407,external,0.5454752938491385,0.3674056154172318,0.12053413187165211,0.5304347826086957,11.751952524968024,0.5094915125138906,0.009683883099599616,0.04424872994422918
Attn_WEA,liaoning,114514,val,0.7461300309597523,0.80990167084527,0.0,0.0,11.731664881213655,0.4746656194329262,0.007588861810771637,0.029316127300262396
Attn_WEA,liaoning,114514,external,0.4829396325459317,0.3381626843051926,0.0,0.0,11.754427450451274,0.46227975174480557,0.008637810891676636,0.058237433433532715
Attn_WEA,xiangya,42,val,0.6138888888888889,0.47019149270707333,0.0,0.5263157894736842,11.685925587592733,0.5518598748104913,0.012091966467256498,0.06107264757156372
Attn_WEA,xiangya,42,external,0.6034825870646766,0.7825936427155311,0.0,0.8170731707317073,11.712596125859438,0.5548161047021138,0.010752126951799432,0.054839253425598145
Attn_WEA,xiangya,123,val,0.6638888888888888,0.4680231556854243,0.19778870132131,0.5588235294117647,11.787165875343375,0.5154704611216273,0.01624553566339229,0.07422822713851929
Attn_WEA,xiangya,123,external,0.3776119402985075,0.599957887757467,-0.11954183733443748,0.7950310559006211,11.801881946740211,0.529251900530353,0.015844542733114544,0.08237805962562561
Attn_WEA,xiangya,2024,val,0.6152777777777778,0.4831600940427816,-0.03152519949406393,0.47619047619047616,11.849456753636904,0.5123871197657925,0.01269006322355375,0.05400887131690979
Attn_WEA,xiangya,2024,external,0.6606965174129353,0.7639216250753658,0.358277265216273,0.8421052631578947,11.859721159009847,0.5133318624545619,0.01196569975952579,0.06379160284996038
Attn_WEA,xiangya,3407,val,0.7097222222222221,0.5452476917896543,0.0,0.5263157894736842,11.441968561092295,0.5585387210760798,0.025172107844480318,0.11280757188796997
Attn_WEA,xiangya,3407,external,0.46119402985074626,0.6779636416442857,0.0,0.8170731707317073,11.53247640925175,0.5649962480535212,0.01547202416866364,0.07401102781295776
Attn_WEA,xiangya,114514,val,0.5819444444444445,0.4250406537906538,0.19778870132131,0.5588235294117647,11.656068135825162,0.5123404993542603,0.011586526637274332,0.04944461584091192
Attn_WEA,xiangya,114514,external,0.42786069651741293,0.6914312966426276,0.0,0.8170731707317073,11.66061495977547,0.5294409885848921,0.009885664452013922,0.05206495523452759
