Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5748±0.0259,0.6041±0.0217,0.5049±0.0655,0.5500±0.1830,0.6582±0.1834
liaoning,0.6493±0.0178,0.6491±0.0233,0.5689±0.0217,0.6667±0.0340,0.6315±0.0532
xiangya,0.6517±0.1039,0.6614±0.0587,0.7402±0.0654,0.6896±0.1172,0.6333±0.1312
