Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5400±0.0293,0.5744±0.0173,0.5162±0.0330,0.6687±0.1883,0.4800±0.2199
liaoning,0.5312±0.0399,0.5660±0.0285,0.4633±0.0189,0.5130±0.0637,0.6189±0.1069
xiangya,0.6338±0.0332,0.6460±0.0115,0.6806±0.1224,0.6119±0.2132,0.6800±0.1966
