Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std),PPV (Mean±Std),NPV (Mean±Std)
huaxi,0.6209±0.0292,0.6320±0.0225,0.5658±0.0153,0.6750±0.1242,0.5891±0.1634,0.5005±0.0507,0.7625±0.0233
liaoning,0.5971±0.0210,0.6039±0.0198,0.4959±0.0386,0.5275±0.0981,0.6803±0.0867,0.4757±0.0285,0.7281±0.0213
xiangya,0.6605±0.0656,0.6567±0.0509,0.6592±0.1915,0.6000±0.2975,0.7133±0.2683,0.8547±0.0758,0.5109±0.1477
ALL,0.6262±0.0483,0.6309±0.0387,0.5737±0.1256,0.6008±0.1906,0.6609±0.1825,0.6103±0.1863,0.6672±0.1407
