Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5645±0.0277,0.5935±0.0166,0.5049±0.0874,0.6125±0.2406,0.5745±0.2316
liaoning,0.5688±0.0100,0.5843±0.0130,0.4915±0.0179,0.5623±0.0330,0.6063±0.0236
xiangya,0.6699±0.0321,0.6721±0.0123,0.7352±0.0750,0.6776±0.1449,0.6667±0.1291
