Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.6047±0.0239,0.6190±0.0227,0.5503±0.0357,0.6562±0.1060,0.5818±0.0979
liaoning,0.6340±0.0336,0.6360±0.0278,0.5439±0.0500,0.6232±0.1492,0.6488±0.1251
xiangya,0.6438±0.0586,0.6431±0.0559,0.6919±0.1129,0.6328±0.2198,0.6533±0.2765
