Model,t* (mean across folds),ROC-AUC,PR-AUC,Sensitivity,Specificity,MCC,BACC,Accuracy
Ablation-Aux,0.48533333333333334,0.5875905329359344,0.5737695527776709,0.8325424507895306,0.14641692515708263,-0.020399206008219727,0.4894796879733066,0.45829736089245504
Ablation-EMA,0.4716666666666667,0.5443551708638036,0.5099430512076106,0.7457729468599034,0.31095204008589833,0.06352337393184829,0.5283624934729009,0.5807566183245427
Ablation-UDA,0.4776666666666667,0.608313053971168,0.5602319257443327,0.9450618285384671,0.06684959834566133,0.02204502079802423,0.5059557134420642,0.4863240236253288
Baseline,0.4816666666666667,0.6525321596245223,0.6015203449394638,0.9607758309899777,0.08281237572576156,0.09307844325798548,0.5217941033578696,0.4880597694700584
ViT-Base,0.514,0.56204083144701,0.5472927996378474,0.9170091571129858,0.11448341684562158,0.03565662702130206,0.5157462869793037,0.5048561787554221
ViT-Small,0.51,0.6276338244999624,0.585291376091975,0.8234236426562838,0.2888013998250219,0.13820850234337453,0.5561125212406528,0.5539602735275886
