Model,ROC-AUC,PR-AUC,Sensitivity,Specificity,MCC,BACC,Accuracy,PPV,NPV,threshold,ROC-AUC_std,PR-AUC_std,Sensitivity_std,Specificity_std,MCC_std,BACC_std,Accuracy_std,PPV_std,NPV_std,threshold_std
Ablation-Aux,0.5875905329359344,0.5737695527776709,0.8325424507895306,0.14641692515708263,-0.020399206008219727,0.4894796879733066,0.45829736089245504,0.46444339325134026,0.5202020202020202,0.48533333333333334,0.0605816285106258,0.2393414337975032,0.11935041664738709,0.10145554570900385,0.06567191118950869,0.02879414259159016,0.09731671209494408,0.17522374358879372,0.253684209189381,0.046306946923041006
Ablation-EMA,0.5443551708638036,0.5099430512076106,0.7457729468599034,0.31095204008589833,0.06352337393184829,0.5283624934729009,0.5807566183245427,0.5149414045290334,0.4537037037037037,0.4716666666666667,0.01357856223117166,0.20810652582835545,0.3379112882360639,0.4189777745269563,0.08644532649274478,0.04059159207915476,0.14699991585679564,0.16142998142205975,0.3931643286215212,0.028023799409311587
Ablation-UDA,0.608313053971168,0.5602319257443327,0.9450618285384671,0.06684959834566133,0.02204502079802423,0.5059557134420642,0.4863240236253288,0.47313387717127964,0.5686274509803921,0.4776666666666667,0.08345665752732409,0.2594482305591751,0.02229020739861306,0.030998215824182444,0.014215637106790026,0.004692472204111406,0.16809235507582324,0.18921014939775382,0.2047118923315794,0.09009069504301394
Baseline,0.6525321596245223,0.6015203449394638,0.9607758309899777,0.08281237572576156,0.09307844325798548,0.5217941033578696,0.4880597694700584,0.4804928713058257,0.7380952380952381,0.4816666666666667,0.0661702986761735,0.2169643078124493,0.03398014441494877,0.048612938130477415,0.04737116730947829,0.013580887466182604,0.17555765461803274,0.19714718222491726,0.25084889887744616,0.012096831541082688
ViT-Base,0.56204083144701,0.5472927996378474,0.9170091571129858,0.11448341684562158,0.03565662702130206,0.5157462869793037,0.5048561787554221,0.4813535108458557,0.5933333333333334,0.514,0.05226108049148788,0.1764730942449023,0.07991242795506094,0.16778728267663634,0.1810714549779003,0.05934213745178046,0.11934269967057892,0.16398793979498338,0.5254839039716948,0.028792360097775943
ViT-Small,0.6276338244999624,0.585291376091975,0.8234236426562838,0.2888013998250219,0.13820850234337453,0.5561125212406528,0.5539602735275886,0.503177661714247,0.6696743481553608,0.51,0.059982512637784195,0.23395732511352932,0.15101105869089543,0.12604775666888762,0.05189101423783358,0.013084657775868938,0.11122803185271639,0.1876393588767004,0.1911293756549509,0.03567912554982258
