threshold,ROC-AUC,PR-AUC,平衡准确率,准确率,MCC,敏感度,特异度,PPV,NPV,F1+,TN,FP,FN,TP,rule_meet_sens
0.481,0.7819078947368422,0.8177800213759601,0.7291118421052631,0.7235494880546075,0.45768630430920637,0.66875,0.7894736842105263,0.7925925925925926,0.6645569620253164,0.7254237288135594,105,28,53,107,False
0.482,0.7819078947368422,0.8177800213759601,0.7328712406015037,0.726962457337884,0.4654582185292509,0.66875,0.7969924812030075,0.7985074626865671,0.6666666666666666,0.7278911564625851,106,27,53,107,False
0.483,0.7819078947368422,0.8177800213759601,0.731015037593985,0.7235494880546075,0.46338212719620914,0.65,0.8120300751879699,0.8062015503875969,0.6585365853658537,0.7197231833910035,108,25,56,104,False
0.484,0.7819078947368422,0.8177800213759601,0.7247650375939849,0.7167235494880546,0.4516361121978592,0.6375,0.8120300751879699,0.8031496062992126,0.6506024096385542,0.7108013937282229,108,25,58,102,False
0.485,0.7819078947368422,0.8177800213759601,0.7253994360902256,0.7167235494880546,0.4537942464758916,0.63125,0.8195488721804511,0.808,0.6488095238095238,0.7087719298245615,109,24,59,101,False
0.486,0.7819078947368422,0.8177800213759601,0.7329182330827068,0.7235494880546075,0.46993985436347624,0.63125,0.8345864661654135,0.8211382113821138,0.6529411764705882,0.7137809187279152,111,22,59,101,False
0.487,0.7819078947368422,0.8177800213759601,0.7235432330827067,0.7133105802047781,0.45265118399145954,0.6125,0.8345864661654135,0.8166666666666667,0.6416184971098265,0.7000000000000001,111,22,62,98,False
0.488,0.7819078947368422,0.8177800213759601,0.7172932330827068,0.7064846416382252,0.44116594578895335,0.6,0.8345864661654135,0.8135593220338984,0.6342857142857142,0.6906474820143884,111,22,64,96,False
0.489,0.7819078947368422,0.8177800213759601,0.7110432330827068,0.6996587030716723,0.4297061912829415,0.5875,0.8345864661654135,0.8103448275862069,0.6271186440677966,0.6811594202898551,111,22,66,94,False
0.49,0.7819078947368422,0.8177800213759601,0.7016682330827068,0.689419795221843,0.4125511731374863,0.56875,0.8345864661654135,0.8053097345132744,0.6166666666666667,0.6666666666666666,111,22,69,91,False
0.491,0.7819078947368422,0.8177800213759601,0.6985432330827068,0.6860068259385665,0.40683901893407026,0.5625,0.8345864661654135,0.8035714285714286,0.6132596685082873,0.6617647058823529,111,22,70,90,False
0.492,0.7819078947368422,0.8177800213759601,0.6929276315789473,0.6791808873720137,0.3982103084291175,0.54375,0.8421052631578947,0.8055555555555556,0.6054054054054054,0.6492537313432836,112,21,73,87,False
0.493,0.7819078947368422,0.8177800213759601,0.6929276315789473,0.6791808873720137,0.3982103084291175,0.54375,0.8421052631578947,0.8055555555555556,0.6054054054054054,0.6492537313432836,112,21,73,87,False
0.494,0.7819078947368422,0.8177800213759601,0.6929276315789473,0.6791808873720137,0.3982103084291175,0.54375,0.8421052631578947,0.8055555555555556,0.6054054054054054,0.6492537313432836,112,21,73,87,False
0.495,0.7819078947368422,0.8177800213759601,0.6898026315789474,0.6757679180887372,0.39252712742397294,0.5375,0.8421052631578947,0.8037383177570093,0.6021505376344086,0.6441947565543071,112,21,74,86,False
0.496,0.7819078947368422,0.8177800213759601,0.6898026315789474,0.6757679180887372,0.39252712742397294,0.5375,0.8421052631578947,0.8037383177570093,0.6021505376344086,0.6441947565543071,112,21,74,86,False
