折,threshold_policy,阈值来源,应用集合,方案,threshold,threshold_status,ROC-AUC,PR-AUC,平衡准确率,准确率,MCC,敏感度,特异度,PPV,NPV,F1+,TN,FP,FN,TP
xiangya,sens>=0.85,development,external,0.5,0.5,fixed_0.5,0.7238805970149254,0.8496445883602952,0.5718905472636816,0.7010309278350515,0.19506910656364432,0.9104477611940298,0.23333333333333334,0.7261904761904762,0.5384615384615384,0.8079470198675497,7,23,6,61
xiangya,sens>=0.85,development,external,t*,0.0,met,0.7238805970149254,0.8496445883602952,0.5,0.6907216494845361,0.0,1.0,0.0,0.6907216494845361,0.0,0.8170731707317073,0,30,0,67
huaxi,sens>=0.85,development,external,0.5,0.5,fixed_0.5,0.5931818181818183,0.4474702133806894,0.6073863636363637,0.5862068965517241,0.20824881735575337,0.6875,0.5272727272727272,0.4583333333333333,0.7435897435897436,0.5499999999999999,29,26,10,22
huaxi,sens>=0.85,development,external,t*,0.0,met,0.5931818181818183,0.4474702133806894,0.5,0.367816091954023,0.0,1.0,0.0,0.367816091954023,0.0,0.5378151260504201,0,55,0,32
liaoning,sens>=0.85,development,external,0.5,0.5,fixed_0.5,0.640534063676823,0.5074462330774069,0.563505648750428,0.6530612244897959,0.15838782617845196,0.2608695652173913,0.8661417322834646,0.5142857142857142,0.6832298136645962,0.34615384615384615,110,17,51,18
liaoning,sens>=0.85,development,external,t*,0.0,met,0.640534063676823,0.5074462330774069,0.5,0.3520408163265306,0.0,1.0,0.0,0.3520408163265306,0.0,0.5207547169811321,0,127,0,69
