Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std),PPV (Mean±Std),NPV (Mean±Std)
huaxi,0.6047±0.0239,0.6190±0.0227,0.5503±0.0357,0.6562±0.1060,0.5818±0.0979,0.4804±0.0268,0.7477±0.0312
liaoning,0.6340±0.0336,0.6360±0.0278,0.5439±0.0500,0.6232±0.1492,0.6488±0.1251,0.5002±0.0538,0.7669±0.0421
xiangya,0.6438±0.0586,0.6431±0.0559,0.6919±0.1129,0.6328±0.2198,0.6533±0.2765,0.8237±0.0680,0.4734±0.0845
ALL,0.6275±0.0420,0.6327±0.0370,0.5954±0.0986,0.6374±0.1535,0.6280±0.1738,0.6014±0.1700,0.6627±0.1486
