Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std),PPV (Mean±Std),NPV (Mean±Std)
huaxi,0.5698±0.0224,0.5977±0.0164,0.5235±0.0229,0.6062±0.0648,0.5891±0.0711,0.4638±0.0234,0.7207±0.0144
liaoning,0.6379±0.0314,0.6386±0.0420,0.5603±0.0506,0.6899±0.1583,0.5874±0.1652,0.4882±0.0637,0.7876±0.0550
xiangya,0.7067±0.0753,0.7081±0.0635,0.7481±0.1138,0.6896±0.1995,0.7267±0.2326,0.8676±0.0735,0.5459±0.1006
ALL,0.6381±0.0734,0.6481±0.0629,0.6107±0.1223,0.6619±0.1463,0.6344±0.1711,0.6065±0.1987,0.6847±0.1222
