Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5466±0.0285,0.5837±0.0224,0.4687±0.0696,0.4875±0.1572,0.6800±0.1309
liaoning,0.5380±0.0218,0.5678±0.0214,0.3994±0.0714,0.3623±0.1089,0.7732±0.0838
xiangya,0.6207±0.0351,0.6334±0.0277,0.5493±0.1491,0.4269±0.1890,0.8400±0.1588
