Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5673±0.0182,0.6021±0.0187,0.5263±0.0443,0.6188±0.1333,0.5855±0.0999
liaoning,0.5781±0.0455,0.5867±0.0256,0.4478±0.0519,0.4348±0.1255,0.7386±0.1378
xiangya,0.6487±0.0449,0.6544±0.0231,0.5375±0.0595,0.3821±0.0630,0.9267±0.0548
