Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5800±0.0262,0.6053±0.0270,0.4958±0.0672,0.5125±0.1648,0.6982±0.1289
liaoning,0.5751±0.0493,0.5869±0.0328,0.4853±0.0685,0.5565±0.1444,0.6173±0.0819
xiangya,0.6274±0.0654,0.6553±0.0453,0.6989±0.1050,0.6239±0.1475,0.6867±0.0931
