Hospital,AUC (Mean±Std),Adjusted Bal Acc (Mean±Std),Adjusted F1 (Mean±Std),Sensitivity (Mean±Std),Specificity (Mean±Std)
huaxi,0.5589±0.0423,0.5986±0.0261,0.4896±0.0946,0.5500±0.2447,0.6473±0.2150
liaoning,0.5724±0.0352,0.5819±0.0293,0.4881±0.0336,0.5623±0.1057,0.6016±0.1273
xiangya,0.5712±0.0634,0.6166±0.0293,0.6335±0.1996,0.5731±0.2442,0.6600±0.2278
