model,hospital,n,ext_auc_mean,ext_pr_mean,ext_bacc_mean,dev_auc_mean,dev_pr_mean,dev_bacc_mean,max_f1_mean,max_mcc_mean
convnext_small,ALL,15,0.5815066666666666,0.5550466666666666,0.5035733333333333,0.6262666666666665,0.6429733333333334,0.5260466666666667,0.62552,0.0254
convnext_small,huaxi,5,0.51772,0.40494,0.50568,0.6928599999999999,0.68946,0.5522,0.5386599999999999,0.01954
convnext_small,liaoning,5,0.53332,0.40998,0.5050399999999999,0.59982,0.6056800000000001,0.5259400000000001,0.5208,0.01278
convnext_small,xiangya,5,0.69348,0.8502199999999999,0.5,0.58612,0.63378,0.5,0.8171000000000002,0.04388
swin_small,ALL,15,0.5980066666666668,0.5775866666666667,0.5297133333333334,0.7440933333333335,0.7676266666666666,0.6272066666666666,0.6298466666666668,0.15194666666666665
swin_small,huaxi,5,0.5672600000000001,0.44548000000000004,0.50592,0.8112,0.81486,0.66318,0.55098,0.14176
swin_small,liaoning,5,0.5781000000000001,0.46232000000000006,0.54672,0.75432,0.7898599999999999,0.63914,0.51944,0.14388
swin_small,xiangya,5,0.6486599999999999,0.8249600000000001,0.5365,0.6667599999999999,0.6981599999999999,0.5793,0.8191200000000001,0.1702
